Sample name,Total hyphal length (Lh),Hyphal Tip Frequency (HTF),Branching Points Frequency (BPF)
A.niger D353.8,592.0800656434375,0.02,0.01
A.niger MA70.15,1178.1376715660813,0.04,0.03
