Sample name,Spore ID,Germ tube length (Lgs),Hyphal tip count (HTgs),Branching Points (BPgs)
A.niger D353.8,1,43.727440556480005,1,0
A.niger D353.8,2,29.08382632189156,2,1
A.niger MA70.15,1,26.62684163012266,1,0
A.niger MA70.15,2,27.556898926357334,1,0
