index,Sample name,Pellet core radius (Rc),Pelletcore area (Ac),Peripheral hyphal length (Lph),Peripheral area (Aph),Pellet radius (Rp),Pellet projected area (Ap),Hypothetical convex area (Ahc),Aspect Ratio (AR),Pellet Circularity (PC),Pellet Solidity (PS),Morphological Number (MN),Pellet Porosity (PP)
1,A.niger D353.8.jpg,352.22182581821147,401723.0164137765,309.489170064317,198534.35711110404,667.0816862500984,600257.3735248805,1577936.323177029,1.04658693524827,0.9992229290069484,0.6692512814207441,0.4190141603099702,0.8312088836527124
2,A.niger MA70.15.jpg,299.0846290689004,297312.58023325045,113.53743871533487,69007.29512969601,421.169578738212,366319.8753629465,600563.0424013197,1.065451439460494,0.9984944024240179,0.8116201173596596,0.61761445709854,0.7724412532256905
